中文,英文,说明
杜埃罗河岸,Ribera del Duero,波特酒
雷司令,Riesling,
里奥哈,Rioja,
珍藏,Riserva,
宝石红,Ruby,
罗斯福,Rutherford,
圣埃美隆,Saint-Emillon,
桑塞尔,Sancerre,法国卢瓦尔河谷 长相思产区
桑娇维塞,Sangiovese,意大利基安蒂产区红葡萄品种，具有干草药的味道 红果高酸高单宁 通常混酿
圣巴巴拉郡,Santa Barbara County,
苏玳,Sauternes,在法国波尔多产区，多赛美容
长相思,Sauvignon Blanc,
雪莉,Sherry,
西拉子,Shiraz,
索阿维,Soave,意大利卡尔卡耐卡白葡萄产区
经典索阿维,Soave Classico,
索诺玛,Sonoma,
东南澳大利亚,South Eastern Australia,
晚收,Spatlese,
斯泰伦博斯,Stellenbosch,南非产区生产赤霞珠和梅洛
西拉,Syrah,
茶色波特,Tawny port,
丹魄,Tempranillo,西班牙
托卡伊,Tokaji,
都兰,Touraine,
干,Trocken,
贵腐果粒精选葡萄酒,Trockenbeerenauslese,
瓦尔波利切拉,Valpolicella,
经典瓦尔波利切拉,Valpolicella Classico,
地区葡萄酒,VDP,
威尼托,Veneto ,
维迪奇诺,Verdicchio,
杰西城堡的维迪奇诺,Verdicchio dei Castelli di Jesi,
乡村餐酒,Vino de la Tierra,
地区餐酒,Vins de Pays,
维欧尼,Viognier,法国罗讷河北部孔德里约
武弗雷,Vouvray,法国卢瓦尔河谷白诗南产地
沃克湾,Walker Bay,南非产区 黑皮诺和霞多丽
西开普,Western Cape,
雅拉谷,Yarra Valley,
仙粉黛,Zinfandel,
